,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Inwood-207 St,0.0,0.0,-0.5732405891980363,-0.5732405891980363,-0.5732405891980363,-0.5283687943262407,-1.5717592592592613,-2.4930441898527036,-6.53150572831424,-6.841346153846153,-7.254909983633386,-6.676910953506699,-6.941506410256416,-8.139525368248776,-9.128841607565015,-9.128841607565015,-8.687155240346733,-8.687155240346733,-8.31678486997636,-9.154635258358667,-9.523477622890681,-10.347644376899694,-11.860991379310349,-11.1875,-10.791636096845181,-10.981291269258975,-10.982399425287355,-3.5625,-3.5625,-3.6075000000000017,-11.205533596837952,-11.205533596837952,-10.543478260869563,-10.304347826086953,-10.075181159420282,-10.130434782608688,-10.130434782608688,-9.717391304347828,-9.557971014492765,,,,
Dyckman St,0.0,0.0,0.038461538461538325,0.038461538461538325,0.038461538461538325,0.05555555555555536,-0.9849537037037042,-1.9198036006546637,-5.99672667757774,-6.303685897435901,-6.720130932896893,-6.167060677698977,-6.442307692307693,-7.643207855973813,-8.656028368794324,-8.656028368794324,-8.25137903861308,-8.25137903861308,-7.881008668242714,-8.73936170212766,-9.127292736610421,-9.957446808510639,-11.451508620689651,-10.795833333333334,-10.408657373440931,-10.598312545854725,-10.596982758620683,-3.5625,-3.5625,-3.6025000000000063,-10.700592885375485,-10.700592885375485,-10.021739130434781,-9.755434782608702,-9.526268115942031,-9.58695652173914,-9.58695652173914,-9.173913043478265,-9.050724637681157,,,,
190 St,0.2777777777777777,0.2884615384615383,0.0,0.0,0.0,0.0,-1.0405092592592595,-1.977495908346972,-6.073649754500817,-6.3806089743589745,-6.797054009819966,-6.241134751773046,-6.5192307692307665,-7.720130932896893,-8.7301024428684,-8.7301024428684,-8.325453112687157,-8.325453112687157,-7.955082742316783,-8.81079027355623,-9.196258253851795,-10.028875379939208,-11.520474137931032,-10.862499999999997,-10.477622890682312,-10.667278063096106,-10.665948275862064,-3.6875,-3.6875,-3.7275000000000063,-10.746047430830032,-10.746047430830032,-10.065217391304344,-9.798913043478265,-9.569746376811594,-9.630434782608702,-9.630434782608702,-9.217391304347828,-9.09420289855072,,,,
181 St,0.2777777777777777,0.2884615384615383,0.0,0.0,0.0,0.0,-1.0405092592592595,-1.977495908346972,-6.073649754500817,-6.3806089743589745,-6.797054009819966,-6.241134751773046,-6.5192307692307665,-7.720130932896893,-8.7301024428684,-8.7301024428684,-8.325453112687157,-8.325453112687157,-7.955082742316783,-8.81079027355623,-9.196258253851795,-10.028875379939208,-11.520474137931032,-10.862499999999997,-10.477622890682312,-10.667278063096106,-10.665948275862064,-3.6875,-3.6875,-3.7275000000000063,-10.746047430830032,-10.746047430830032,-10.065217391304344,-9.798913043478265,-9.569746376811594,-9.630434782608702,-9.630434782608702,-9.217391304347828,-9.09420289855072,,,,
175 St,0.2777777777777777,0.2884615384615383,0.0,0.0,0.0,0.0,-1.0405092592592595,-1.977495908346972,-6.073649754500817,-6.3806089743589745,-6.797054009819966,-6.24113475177305,-6.5192307692307665,-7.720130932896893,-8.7301024428684,-8.7301024428684,-8.325453112687157,-8.325453112687157,-7.955082742316783,-8.81079027355623,-9.196258253851795,-10.028875379939208,-11.520474137931032,-10.862499999999997,-10.477622890682312,-10.667278063096106,-10.665948275862064,-3.6875,-3.6875,-3.7275000000000063,-10.746047430830032,-10.746047430830032,-10.065217391304344,-9.798913043478265,-9.569746376811594,-9.630434782608702,-9.630434782608702,-9.217391304347828,-9.09420289855072,,,,
168 St,0.27777777777777857,0.2884615384615383,0.0,0.0,0.0,0.0,-0.8888888888888893,-1.8461538461538467,-5.98076923076923,-6.272435897435898,-6.704173486088379,-6.178881008668242,-6.44951923076923,-7.665711947626843,-8.70488573680063,-8.70488573680063,-8.337273443656422,-8.337273443656422,-7.966903073286048,-8.848404255319146,-9.257887013939836,-10.10220364741641,-11.60129310344827,-10.964583333333337,-10.597578870139401,-10.787234042553195,-10.770833333333336,-4.166666666666664,-4.166666666666664,-4.177499999999995,-10.737154150197625,-10.737154150197625,-10.086956521739125,-9.768115942028984,-9.538949275362327,-9.608695652173921,-9.608695652173921,-9.195652173913047,-9.125905797101453,,,,
145 St,-0.27777777777777857,-0.2884615384615383,-0.5769230769230766,-0.5925925925925926,-0.5925925925925926,-0.5925925925925926,0.0,-0.9038461538461537,-5.076923076923077,-5.368589743589743,-5.800327332242226,-5.3085106382978715,-5.584134615384617,-6.800327332242226,-7.871552403467295,-7.871552403467295,-7.5409771473601275,-7.5409771473601275,-7.17060677698975,-8.080547112462,-8.51650770359501,-9.370060790273556,-10.894396551724135,-10.28125,-9.925165077035956,-10.11482024944975,-10.09841954022989,-3.9166666666666643,-3.9166666666666643,-3.927500000000002,-9.941699604743079,-9.941699604743079,-9.326086956521735,-9.007246376811594,-8.778079710144937,-8.84782608695653,-8.84782608695653,-8.434782608695656,-8.365036231884062,,,,
125 St,-0.45772946859903385,-0.47909698996655514,-0.7675585284280935,-0.7910628019323678,-0.7910628019323678,-0.793144208037825,-0.3076923076923075,0.0,-4.192307692307692,-4.483974358974358,-4.915711947626843,-4.438140267927501,-4.71875,-5.934942716857609,-7.019700551615447,-7.019700551615447,-6.707643814026792,-6.707643814026792,-6.337273443656425,-7.2591185410334305,-7.706162876008804,-8.566489361702125,-10.101293103448278,-9.497916666666669,-9.149303008070433,-9.338958180484227,-9.322557471264368,-3.3541666666666643,-3.3541666666666643,-3.365000000000002,-9.100790513833985,-9.100790513833985,-8.5,-8.181159420289845,-7.951992753623188,-8.021739130434781,-8.021739130434781,-7.608695652173921,-7.538949275362327,,,,
59 St-Columbus Circle,-2.946859903381643,-3.0752508361204,-3.3637123745819366,-3.457729468599034,-3.457729468599034,-3.459810874704493,-3.0769230769230766,-2.76923076923077,0.0,-0.2916666666666665,-0.7234042553191493,-0.40110323089046496,-0.71875,-1.934942716857611,-3.167848699763592,-3.167848699763592,-3.0409771473601275,-3.0409771473601275,-2.6706067769897572,-3.7234042553191493,-4.29236977256053,-5.209346504559271,-6.859913793103445,-6.364583333333336,-6.080337490829059,-6.269992663242853,-6.253591954022994,-2.1666666666666643,-2.1666666666666643,-2.177500000000002,-5.487154150197625,-5.487154150197625,-5.043478260869563,-4.724637681159422,-4.4954710144927645,-4.565217391304358,-4.565217391304358,-4.152173913043484,-4.08242753623189,,,,
42 St-Port Authority Bus Terminal,-4.224637681159418,-4.402173913043477,-4.690635451505017,-4.772544283413847,-4.772544283413847,-4.774625689519308,-4.442307692307693,-4.134615384615385,-0.6538461538461537,0.0,-0.3379705400981998,-0.0370370370370372,-0.3485576923076925,-1.5687397708674293,-2.8223010244286826,-2.8223010244286826,-2.6820330969267143,-2.682033096926716,-2.311662726556346,-3.3936170212765973,-3.9798239178283197,-4.918693009118542,-6.581896551724135,-6.102083333333333,-5.802274394717536,-5.991929567131329,-5.97198275862069,-2.2083333333333357,-2.2083333333333357,-2.2325000000000017,-5.115612648221344,-5.115612648221344,-4.673913043478265,-4.347826086956516,-4.118659420289852,-4.195652173913032,-4.195652173913032,-3.782608695652172,-3.8306159420289845,,,,
34 St-Penn Station,-4.046296296296298,-4.222408026755851,-4.510869565217391,-4.575684380032204,-4.575684380032204,-4.5807722616233235,-4.204849498327759,-3.9080267558528448,-0.408026755852843,-0.03846153846153855,0.0,0.2852639873916467,-0.038461538461538325,-1.25,-2.5,-2.5,-2.3703703703703702,-2.3703703703703702,-2.0,-3.0892857142857153,-3.6724137931034484,-4.625,-6.293103448275865,-5.810416666666669,-5.516140865737341,-5.705796038151135,-5.693606321839077,-1.9583333333333357,-1.9583333333333357,-1.9975000000000023,-4.835968379446641,-4.835968379446641,-4.391304347826086,-4.079710144927539,-3.8505434782608745,-3.934782608695656,-3.934782608695656,-3.5217391304347814,-3.5833333333333286,,,,
14 St,-4.175925925925924,-4.357023411371237,-4.645484949832774,-4.723832528180353,-4.723832528180353,-4.728920409771472,-4.358695652173914,-4.061872909698998,-0.5811036789297663,-0.23076923076923084,-0.1923076923076925,0.0,-0.31009615384615374,-1.530278232405892,-2.785263987391647,-2.7852639873916463,-2.6449960598896762,-2.6449960598896762,-2.274625689519306,-3.3579027355623126,-3.945341159207633,-4.882978723404257,-6.547413793103445,-6.068750000000001,-5.767791636096845,-5.957446808510639,-5.9375,-2.1458333333333357,-2.1458333333333357,-2.1700000000000017,-5.09288537549407,-5.09288537549407,-4.652173913043484,-4.326086956521742,-4.096920289855078,-4.173913043478258,-4.173913043478258,-3.7608695652173907,-3.808876811594203,,,,
